specObjID,z,zErr,spectroSkyFlux_u,spectroSkyFlux_g,spectroSkyFlux_r,spectroSkyFlux_i,spectroSkyFlux_z
305284657723762688,2.107791,0.0003481577,12.42594,17.82547,40.83408,72.03049,129.6225
305284932601669632,0.06592841,1.78682E-05,11.60612,17.9633,42.69678,76.36697,137.7374
305285207479576576,0.2799968,0.0002419709,12.3131,17.64171,40.60081,72.78165,132.1236
305285482357483520,0.1845304,4.760922E-05,11.21937,16.89379,40.59593,73.1944,131.3603
305285757235390464,0.0710241,1.593244E-05,12.12675,17.62217,41.73975,75.01313,135.2583
305286032113297408,0.1002845,1.917243E-05,12.88035,18.82816,44.58302,79.39185,140.0811
305286581869111296,0.09609467,7.529355E-06,12.46962,17.81187,41.70326,74.25288,133.8298
305286856747018240,0.05389576,1.016945E-05,12.48671,17.67118,41.18755,74.27619,136.3429
305287131624925184,0.09840634,2.055128E-05,11.9749,17.46513,41.39968,73.84558,133.7096
305287406502832128,0.09599821,1.25999E-05,12.4376,17.56485,41.05431,73.41293,137.4282
305287956258646016,0.09561259,3.531454E-05,12.2392,17.50744,41.29148,74.19346,138.0923
305288231136552960,1.523127,0.0005007528,13.09223,17.77308,40.43606,71.18674,132.1495
305288506014459904,0.05533539,1.188654E-05,12.9444,17.8869,42.33474,75.89653,140.3748
305288780892366848,0.05379997,6.826197E-06,12.5511,17.48547,41.89827,75.54836,139.883
305289055770273792,0.1132934,7.701362E-06,12.96908,17.53118,41.13671,73.53408,136.3744
305289330648180736,0.0585773,7.813594E-06,13.05657,17.7441,42.17381,75.44065,139.7127
305289605526087680,0.06253219,6.40282E-06,13.29939,17.86184,42.13209,75.81842,136.0296
305290155281901568,0.09462369,1.130644E-05,13.06277,17.11052,40.71312,72.10234,129.9558
305290430159808512,0.1112022,3.194052E-05,13.76959,17.75844,41.88671,75.69641,134.0312
305290705037715456,0.07134143,1.554919E-05,14.64175,18.38078,43.7838,78.08219,138.151
305290979915622400,1.368632,0.0005561109,14.61365,17.75677,40.51987,71.27872,126.3582
305291254793529344,0.07149646,2.700028E-05,14.13118,17.65247,41.68967,74.2525,132.8628
305291529671436288,0.07132712,2.097194E-05,14.91139,18.0383,42.26617,75.39928,134.7282
305291804549343232,0.07137506,1.678809E-05,14.91169,18.17721,43.16172,76.77251,141.0414
305292079427250176,0.1111002,1.802028E-05,14.84245,18.27851,43.29193,76.9951,140.4693
305292354305157120,0.09639543,3.354266E-05,13.65566,17.34323,41.31862,73.36767,135.5723
305292629183064064,0.06146437,9.198839E-06,14.07474,17.41807,40.52646,72.66114,132.7739
305292904060971008,0.1109645,2.782794E-05,13.68356,17.67434,41.68452,73.81674,136.6215
305293178938877952,0.09406105,2.865838E-05,13.62909,17.75025,42.0435,74.78072,137.7123
305293453816784896,0.1127164,1.961375E-05,12.9769,17.00596,40.12186,71.05206,128.5267
305293728694691840,0.07240278,1.511478E-05,13.10015,17.83774,41.54255,73.88982,133.1665
305294003572598784,0.06254619,1.089265E-05,12.85953,17.37137,40.15243,71.08469,126.5588
305294278450505728,0.1096946,2.458221E-05,12.93868,17.7461,42.07235,74.76965,138.5335
305294828206319616,3.938898,0.001091862,12.86311,17.82514,41.04512,73.45274,133.4264
306245082103703552,0.3437378,2.179493E-05,12.46411,16.73762,37.34856,59.58376,106.6373
306245356981610496,0.3256121,9.738774E-05,9.500691,14.6398,35.52395,59.29621,106.6209
306245631859517440,0.09828795,2.729017E-05,11.9773,16.40718,36.88031,59.88909,105.1083
306245906737424384,1.738782,3.003077,12.46852,16.75171,37.17974,59.79438,106.9791
306246181615331328,0.09265133,2.061744E-05,11.75492,16.05727,36.18842,58.05996,106.1378
306246456493238272,0.1592942,4.755695E-05,11.29907,15.67933,35.87795,58.8026,106.5841
306246731371145216,0.08963351,9.130402E-06,11.83294,16.15221,36.38511,59.33394,105.7677
306247006249052160,0.1134811,1.636673E-05,11.8551,16.15504,36.49084,59.9433,104.9597
306247281126959104,0.062991,1.11072E-05,11.41863,15.86349,35.9893,58.0748,102.7667
306247556004866048,0.1585902,4.043124E-05,11.67456,16.13483,36.62784,59.84296,106.002
306247830882772992,0.1124126,1.51166E-05,11.11166,15.86479,35.9497,57.67324,103.7548
306248105760679936,0.1346384,1.06566E-05,11.52627,15.86817,35.92993,68.1372,105.839
306248380638586880,0.1130879,2.543179E-05,11.88488,16.36415,37.04603,60.27528,109.8046
306248655516493824,0.1141461,1.477202E-05,11.26284,15.81508,36.38127,59.886,105.1248
306249205272307712,0.3264254,9.776289E-05,8.653156,14.12086,35.14169,58.5498,106.9659
306249480150214656,0.1269418,1.240485E-05,11.54493,16.191,36.40972,59.02709,104.5267
306249755028121600,0.1104557,1.641796E-05,11.75636,16.27523,36.80943,60.36326,106.6269
306250304783935488,1.261787,0.0002703818,11.96422,16.78702,37.47824,60.00809,107.9766
306250579661842432,1.542832,0.000518474,11.8282,16.36828,36.75231,60.17493,107.4515
306250854539749376,0.1146446,3.120395E-05,11.37811,16.19665,36.64752,59.33382,105.0584
306251129417656320,0.03452292,4.917443E-06,11.03997,15.78294,35.75563,57.46865,104.0158
306251404295563264,0.03494354,1.446061E-05,11.21516,15.75201,35.63991,57.83825,104.0797
306251679173470208,0.2224611,5.178389E-05,10.47436,15.3977,35.90252,59.01237,105.706
306251954051377152,0.2230408,6.949848E-05,11.35755,15.99142,35.86684,57.78931,103.6351
306252228929284096,0.06377484,1.428932E-05,11.2734,15.89078,35.76384,58.05072,100.6179
306252503807191040,0.1166228,2.053357E-05,10.5427,15.72209,36.38176,58.81549,102.5625
306252778685097984,0.1167375,1.145327E-05,11.25824,15.8563,35.60194,57.60646,102.6139
306253328440911872,0.09450503,2.466694E-05,11.3988,16.17537,36.41558,58.7081,105.6542
306253603318818816,0.09467486,1.688177E-05,11.16905,16.07871,36.47772,58.96421,106.1793
306253878196725760,0.09498288,7.712092E-06,10.8712,15.6959,35.76153,58.66229,105.2716
306254153074632704,0.118056,1.983448E-05,11.23897,16.04096,36.06855,58.3718,104.0701
306254427952539648,0.2218692,1.358074E-05,10.54457,15.52175,35.70349,58.04115,105.957
