SpecObjID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
299617220323993600,0.03516777,1.607626E-05,19.26759,17.30498,16.34468,15.88871,15.51945
299617220793755648,0.08006686,5.117236E-06,18.74419,17.50309,16.87667,16.43441,16.20806
299617495671662592,0.03516901,1.407426E-05,19.26759,17.30498,16.34468,15.88871,15.51945
299617770079807488,0.1436463,1.550114E-05,20.45821,18.64343,17.56185,17.02582,16.63681
299617770549569536,0.0303838,1.513987E-05,17.63341,15.93448,15.11038,14.69231,14.36217
299618044957714432,0.4404989,0.000389211,23.29384,21.67736,19.5853,18.64887,18.18177
299618045427476480,0.1222152,1.89308E-05,20.70862,18.98029,17.91425,17.3501,16.94843
299618319835621376,0.03048641,1.548921E-05,18.33369,16.97861,16.34924,16.03208,15.85286
299618320305383424,0.12362,3.097464E-05,21.55523,19.41308,18.34801,17.57469,22.82693
299618594713528320,0.1434258,5.715508E-05,20.86006,18.93661,17.70038,17.21099,16.76752
299618595183290368,0.1434542,4.371216E-05,20.86006,18.93661,17.70038,17.21099,16.76752
299618869591435264,0.1442122,1.914027E-05,20.52098,18.80158,17.7274,17.14448,16.74244
299619144469342208,0.01112301,6.37461E-06,18.33662,17.22243,16.69135,16.49855,16.2748
299619144939104256,0.1271269,2.849887E-05,20.45343,18.1878,16.91408,16.37512,15.9268
299619419347249152,0.1445674,3.579435E-05,19.64072,17.92365,16.81468,16.32179,15.91937
299619419817011200,0.1441793,1.514151E-05,20.52098,18.80158,17.7274,17.14448,16.74244
299619694225156096,0.08002982,6.352976E-06,19.92179,18.63995,18.12564,17.796,17.56301
299619694694918144,0.01112419,6.736615E-06,18.33662,17.22243,16.69135,16.49855,16.2748
299619969103063040,0.1271154,3.450843E-05,20.45343,18.1878,16.91408,16.37512,15.9268
299619969572825088,0.1454365,7.628642E-06,19.49228,18.20614,17.44251,17.01286,16.76931
299620243980969984,0.1454738,7.949402E-06,19.49228,18.20614,17.44251,17.01286,16.76931
299620244450732032,0.2025691,4.43574E-05,21.67696,19.37022,17.8163,17.24626,16.79669
299620518858876928,0.2024813,5.464644E-05,21.67696,19.37022,17.8163,17.24626,16.79669
299620519328638976,0.1445547,2.81341E-05,19.64072,17.92365,16.81468,16.32179,15.91937
299620793736783872,0.1222151,1.928915E-05,20.70862,18.98029,17.91425,17.3501,16.94843
299620794206545920,0.4404977,0.0001771108,23.29384,21.67736,19.5853,18.64887,18.18177
299621069084452864,0.08002961,5.771676E-06,19.92179,18.63995,18.12564,17.796,17.56301
299621343492597760,0.1256362,2.598236E-05,19.85845,17.96444,16.90731,16.37569,15.9443
299621343962359808,0.1256616,2.628337E-05,19.85845,17.96444,16.90731,16.37569,15.9443
299621618370504704,0.1413766,4.331274E-05,20.96274,18.46582,17.20486,16.63498,16.19913
299621618840266752,0.1207871,3.090218E-05,19.72101,17.31965,16.03212,15.43835,14.986
299621893248411648,0.2425008,5.804768E-05,22.43957,20.01071,18.37717,17.69845,17.25212
299621893718173696,0.1936545,3.889416E-05,19.83648,18.41805,17.28082,16.79583,16.45795
299622168126318592,0.1444444,4.588711E-05,20.9458,18.95822,17.68155,17.16428,16.75422
299622443004225536,0.1207716,3.23167E-05,19.72101,17.31965,16.03212,15.43835,14.986
299622717882132480,0.4417664,0.0001809637,23.37176,20.79182,18.91147,18.06108,17.48847
299622718351894528,0.03735736,6.960818E-06,20.46056,18.95893,18.03281,17.5165,17.16691
299622993229801472,0.1413422,3.449905E-05,20.96274,18.46582,17.20486,16.63498,16.19913
299623267637946368,0.2184864,5.318834E-05,21.70424,19.32285,17.75637,17.12694,16.68575
299623542515853312,0.03612467,2.038826E-05,19.91808,18.31791,17.5412,17.15661,16.80382
299623542985615360,0.2183854,4.274228E-05,21.70424,19.32285,17.75637,17.12694,16.68575
299623817393760256,0.1442188,3.102048E-05,21.72701,19.2766,17.89674,17.27209,16.80984
299623817863522304,0.03610206,1.409051E-05,19.91808,18.31791,17.5412,17.15661,16.80382
299624092271667200,0.1443459,9.625745E-06,20.33098,18.94596,18.11268,17.62639,17.35767
